ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
05447D4F5247EE6B7333DE2B9311C6B0,05447D4F5247EE6B1DF8117D6C3255CA,2021-03-14 00:00:00,001,颗粒物,1.49,20,,0,0,2021-03-15T09:24:55.13,2021-03-15T09:24:59.023,20210314
05447D4F5247EE6B7333DE2B9311C6B0,05447D4F5247EE6B1DF8117D6C3255CA,2021-03-14 00:00:00,002,二氧化硫,8.25,80,,0,0,2021-03-15T09:24:55.13,2021-03-15T09:24:59.023,20210314
05447D4F5247EE6B7333DE2B9311C6B0,05447D4F5247EE6B1DF8117D6C3255CA,2021-03-14 00:00:00,003,氮氧化物,143.43,250,,0,0,2021-03-15T09:24:55.13,2021-03-15T09:24:59.023,20210314
05447D4F5247EE6B7333DE2B9311C6B0,05447D4F5247EE6B1DF8117D6C3255CA,2021-03-14 00:00:00,004,一氧化碳,5.86,80,,0,0,2021-03-15T09:24:55.13,2021-03-15T09:24:59.023,20210314
05447D4F5247EE6B7333DE2B9311C6B0,05447D4F5247EE6B1DF8117D6C3255CA,2021-03-14 00:00:00,008,氯化氢,6.6,50,,0,0,2021-03-15T09:24:55.13,2021-03-15T09:24:59.023,20210314
05447D4F5247EE6B7333DE2B9311C6B0,05447D4F5247EE6B906CE0AB273834E0,2021-03-14 00:00:00,001,颗粒物,,20,,0,0,2021-03-15T09:24:55.13,2021-03-15T09:24:55.13,20210314
05447D4F5247EE6B7333DE2B9311C6B0,05447D4F5247EE6B906CE0AB273834E0,2021-03-14 00:00:00,002,二氧化硫,,80,,0,0,2021-03-15T09:24:55.13,2021-03-15T09:24:55.13,20210314
05447D4F5247EE6B7333DE2B9311C6B0,05447D4F5247EE6B906CE0AB273834E0,2021-03-14 00:00:00,003,氮氧化物,,250,,0,0,2021-03-15T09:24:55.13,2021-03-15T09:24:55.13,20210314
05447D4F5247EE6B7333DE2B9311C6B0,05447D4F5247EE6B906CE0AB273834E0,2021-03-14 00:00:00,004,一氧化碳,,80,,0,0,2021-03-15T09:24:55.13,2021-03-15T09:24:55.13,20210314
05447D4F5247EE6B7333DE2B9311C6B0,05447D4F5247EE6B906CE0AB273834E0,2021-03-14 00:00:00,008,氯化氢,,50,,0,0,2021-03-15T09:24:55.13,2021-03-15T09:24:55.13,20210314
