ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
27759AA696B692BD270C6B689BECEC34,27759AA696B692BD49006EB8D8D180B2,2021-03-06 00:00:00,001,颗粒物,1.38,20,,0,0,2021-03-07T09:22:04.09,2021-03-07T09:22:08.453,20210306
27759AA696B692BD270C6B689BECEC34,27759AA696B692BD49006EB8D8D180B2,2021-03-06 00:00:00,002,二氧化硫,9.43,80,,0,0,2021-03-07T09:22:04.09,2021-03-07T09:22:08.453,20210306
27759AA696B692BD270C6B689BECEC34,27759AA696B692BD49006EB8D8D180B2,2021-03-06 00:00:00,003,氮氧化物,97.93,250,,0,0,2021-03-07T09:22:04.09,2021-03-07T09:22:08.453,20210306
27759AA696B692BD270C6B689BECEC34,27759AA696B692BD49006EB8D8D180B2,2021-03-06 00:00:00,004,一氧化碳,3.82,80,,0,0,2021-03-07T09:22:04.09,2021-03-07T09:22:08.453,20210306
27759AA696B692BD270C6B689BECEC34,27759AA696B692BD49006EB8D8D180B2,2021-03-06 00:00:00,008,氯化氢,4.65,50,,0,0,2021-03-07T09:22:04.09,2021-03-07T09:22:08.453,20210306
27759AA696B692BD270C6B689BECEC34,27759AA696B692BDCEF6670C4AC6B04B,2021-03-06 00:00:00,001,颗粒物,1.63,20,,0,0,2021-03-07T09:22:04.09,2021-03-07T09:22:08.453,20210306
27759AA696B692BD270C6B689BECEC34,27759AA696B692BDCEF6670C4AC6B04B,2021-03-06 00:00:00,002,二氧化硫,14.43,80,,0,0,2021-03-07T09:22:04.09,2021-03-07T09:22:08.453,20210306
27759AA696B692BD270C6B689BECEC34,27759AA696B692BDCEF6670C4AC6B04B,2021-03-06 00:00:00,003,氮氧化物,88.0,250,,0,0,2021-03-07T09:22:04.09,2021-03-07T09:22:08.453,20210306
27759AA696B692BD270C6B689BECEC34,27759AA696B692BDCEF6670C4AC6B04B,2021-03-06 00:00:00,004,一氧化碳,9.44,80,,0,0,2021-03-07T09:22:04.09,2021-03-07T09:22:08.453,20210306
27759AA696B692BD270C6B689BECEC34,27759AA696B692BDCEF6670C4AC6B04B,2021-03-06 00:00:00,008,氯化氢,2.93,50,,0,0,2021-03-07T09:22:04.09,2021-03-07T09:22:08.453,20210306
