ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5A4035FC20B84BCE04,2021-03-28 00:00:00,001,颗粒物,3.27,20,,0,0,2021-03-29T09:22:42.74,2021-03-29T09:22:49.227,20210328
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5A4035FC20B84BCE04,2021-03-28 00:00:00,002,二氧化硫,14.33,80,,0,0,2021-03-29T09:22:42.74,2021-03-29T09:22:49.227,20210328
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5A4035FC20B84BCE04,2021-03-28 00:00:00,003,氮氧化物,152.32,250,,0,0,2021-03-29T09:22:42.74,2021-03-29T09:22:49.227,20210328
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5A4035FC20B84BCE04,2021-03-28 00:00:00,004,一氧化碳,0.94,80,,0,0,2021-03-29T09:22:42.74,2021-03-29T09:22:49.227,20210328
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5A4035FC20B84BCE04,2021-03-28 00:00:00,008,氯化氢,6.79,50,,0,0,2021-03-29T09:22:42.74,2021-03-29T09:22:49.227,20210328
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5AB8C1A16A640ADE1E,2021-03-28 00:00:00,001,颗粒物,2.6,20,,0,0,2021-03-29T09:22:42.74,2021-03-29T09:22:49.227,20210328
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5AB8C1A16A640ADE1E,2021-03-28 00:00:00,002,二氧化硫,21.71,80,,0,0,2021-03-29T09:22:42.74,2021-03-29T09:22:49.227,20210328
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5AB8C1A16A640ADE1E,2021-03-28 00:00:00,003,氮氧化物,150.92,250,,0,0,2021-03-29T09:22:42.74,2021-03-29T09:22:49.227,20210328
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5AB8C1A16A640ADE1E,2021-03-28 00:00:00,004,一氧化碳,0.15,80,,0,0,2021-03-29T09:22:42.74,2021-03-29T09:22:49.227,20210328
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5AB8C1A16A640ADE1E,2021-03-28 00:00:00,008,氯化氢,1.21,50,,0,0,2021-03-29T09:22:42.74,2021-03-29T09:22:49.227,20210328
