ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2021-03-30 00:00:00,001,颗粒物,0.7,20,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2021-03-30 00:00:00,002,二氧化硫,1.14,80,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2021-03-30 00:00:00,003,氮氧化物,46.99,250,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2021-03-30 00:00:00,004,一氧化碳,4.14,80,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2021-03-30 00:00:00,008,氯化氢,0.41,50,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2021-03-30 00:00:00,001,颗粒物,0.73,20,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2021-03-30 00:00:00,002,二氧化硫,4.68,80,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2021-03-30 00:00:00,003,氮氧化物,49.7,250,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2021-03-30 00:00:00,004,一氧化碳,4.06,80,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2021-03-30 00:00:00,008,氯化氢,0.82,50,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2021-03-30 00:00:00,001,颗粒物,0.55,20,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2021-03-30 00:00:00,002,二氧化硫,2.52,80,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2021-03-30 00:00:00,003,氮氧化物,55.49,250,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2021-03-30 00:00:00,004,一氧化碳,2.92,80,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2021-03-30 00:00:00,008,氯化氢,0.48,50,,0,0,2021-03-31T09:25:38.237,2021-03-31T09:25:47.143,20210330
