ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
0FB5E2B1D7F5B2378BA6CCF06ED293DB,0FB5E2B1D7F5B2372B012224E233878D,2021-03-08 00:00:00,001,颗粒物,2.87,20,,0,0,2021-03-09T09:22:10.72,2021-03-09T09:22:16.283,20210308
0FB5E2B1D7F5B2378BA6CCF06ED293DB,0FB5E2B1D7F5B2372B012224E233878D,2021-03-08 00:00:00,002,二氧化硫,33.04,80,,0,0,2021-03-09T09:22:10.72,2021-03-09T09:22:16.283,20210308
0FB5E2B1D7F5B2378BA6CCF06ED293DB,0FB5E2B1D7F5B2372B012224E233878D,2021-03-08 00:00:00,003,氮氧化物,173.88,250,,0,0,2021-03-09T09:22:10.72,2021-03-09T09:22:16.283,20210308
0FB5E2B1D7F5B2378BA6CCF06ED293DB,0FB5E2B1D7F5B2372B012224E233878D,2021-03-08 00:00:00,004,一氧化碳,3.05,80,,0,0,2021-03-09T09:22:10.72,2021-03-09T09:22:16.283,20210308
0FB5E2B1D7F5B2378BA6CCF06ED293DB,0FB5E2B1D7F5B2372B012224E233878D,2021-03-08 00:00:00,008,氯化氢,16.73,50,,0,0,2021-03-09T09:22:10.72,2021-03-09T09:22:16.283,20210308
0FB5E2B1D7F5B2378BA6CCF06ED293DB,0FB5E2B1D7F5B2378305C7CFFB108629,2021-03-08 00:00:00,001,颗粒物,3.21,20,,0,0,2021-03-09T09:22:10.72,2021-03-09T09:22:16.283,20210308
0FB5E2B1D7F5B2378BA6CCF06ED293DB,0FB5E2B1D7F5B2378305C7CFFB108629,2021-03-08 00:00:00,002,二氧化硫,28.66,80,,0,0,2021-03-09T09:22:10.72,2021-03-09T09:22:16.283,20210308
0FB5E2B1D7F5B2378BA6CCF06ED293DB,0FB5E2B1D7F5B2378305C7CFFB108629,2021-03-08 00:00:00,003,氮氧化物,182.44,250,,0,0,2021-03-09T09:22:10.72,2021-03-09T09:22:16.283,20210308
0FB5E2B1D7F5B2378BA6CCF06ED293DB,0FB5E2B1D7F5B2378305C7CFFB108629,2021-03-08 00:00:00,004,一氧化碳,2.19,80,,0,0,2021-03-09T09:22:10.72,2021-03-09T09:22:16.283,20210308
0FB5E2B1D7F5B2378BA6CCF06ED293DB,0FB5E2B1D7F5B2378305C7CFFB108629,2021-03-08 00:00:00,008,氯化氢,12.81,50,,0,0,2021-03-09T09:22:10.72,2021-03-09T09:22:16.283,20210308
