ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
E8F1C0CE6B18727124370ED3AA2CB269,E8F1C0CE6B1872717DEA83A3553B0B5E,2021-03-17 00:00:00,001,颗粒物,,20,,0,0,2021-03-18T09:23:13.933,2021-03-18T09:23:13.933,20210317
E8F1C0CE6B18727124370ED3AA2CB269,E8F1C0CE6B1872717DEA83A3553B0B5E,2021-03-17 00:00:00,002,二氧化硫,,80,,0,0,2021-03-18T09:23:13.933,2021-03-18T09:23:13.933,20210317
E8F1C0CE6B18727124370ED3AA2CB269,E8F1C0CE6B1872717DEA83A3553B0B5E,2021-03-17 00:00:00,003,氮氧化物,,250,,0,0,2021-03-18T09:23:13.933,2021-03-18T09:23:13.933,20210317
E8F1C0CE6B18727124370ED3AA2CB269,E8F1C0CE6B1872717DEA83A3553B0B5E,2021-03-17 00:00:00,004,一氧化碳,,80,,0,0,2021-03-18T09:23:13.933,2021-03-18T09:23:13.933,20210317
E8F1C0CE6B18727124370ED3AA2CB269,E8F1C0CE6B1872717DEA83A3553B0B5E,2021-03-17 00:00:00,008,氯化氢,,50,,0,0,2021-03-18T09:23:13.933,2021-03-18T09:23:13.933,20210317
E8F1C0CE6B18727124370ED3AA2CB269,E8F1C0CE6B1872715DF178254646B19D,2021-03-17 00:00:00,001,颗粒物,5.63,20,,0,0,2021-03-18T09:23:13.933,2021-03-18T09:23:17.62,20210317
E8F1C0CE6B18727124370ED3AA2CB269,E8F1C0CE6B1872715DF178254646B19D,2021-03-17 00:00:00,002,二氧化硫,27.44,80,,0,0,2021-03-18T09:23:13.933,2021-03-18T09:23:17.62,20210317
E8F1C0CE6B18727124370ED3AA2CB269,E8F1C0CE6B1872715DF178254646B19D,2021-03-17 00:00:00,003,氮氧化物,177.78,250,,0,0,2021-03-18T09:23:13.933,2021-03-18T09:23:17.62,20210317
E8F1C0CE6B18727124370ED3AA2CB269,E8F1C0CE6B1872715DF178254646B19D,2021-03-17 00:00:00,004,一氧化碳,8.1,80,,0,0,2021-03-18T09:23:13.933,2021-03-18T09:23:17.62,20210317
E8F1C0CE6B18727124370ED3AA2CB269,E8F1C0CE6B1872715DF178254646B19D,2021-03-17 00:00:00,008,氯化氢,8.36,50,,0,0,2021-03-18T09:23:13.933,2021-03-18T09:23:17.62,20210317
