ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
068E652C488E6D01151B4980924F858E,068E652C488E6D015B2FD0AC61C0F26F,2021-03-19 00:00:00,001,颗粒物,3.03,20,CEMS维护,0,0,2021-03-20T09:21:49.08,2021-03-20T09:21:49.08,20210319
068E652C488E6D01151B4980924F858E,068E652C488E6D015B2FD0AC61C0F26F,2021-03-19 00:00:00,002,二氧化硫,24.79,80,CEMS维护,0,0,2021-03-20T09:21:49.08,2021-03-20T09:21:49.08,20210319
068E652C488E6D01151B4980924F858E,068E652C488E6D015B2FD0AC61C0F26F,2021-03-19 00:00:00,003,氮氧化物,156.08,250,CEMS维护,0,0,2021-03-20T09:21:49.08,2021-03-20T09:21:49.08,20210319
068E652C488E6D01151B4980924F858E,068E652C488E6D015B2FD0AC61C0F26F,2021-03-19 00:00:00,004,一氧化碳,3.53,80,CEMS维护,0,0,2021-03-20T09:21:49.08,2021-03-20T09:21:49.08,20210319
068E652C488E6D01151B4980924F858E,068E652C488E6D015B2FD0AC61C0F26F,2021-03-19 00:00:00,008,氯化氢,5.37,50,CEMS维护,0,0,2021-03-20T09:21:49.08,2021-03-20T09:21:49.08,20210319
068E652C488E6D01151B4980924F858E,068E652C488E6D01E599293424AF0A5C,2021-03-19 00:00:00,001,颗粒物,2.4,20,CEMS维护,0,0,2021-03-20T09:21:49.08,2021-03-20T09:21:49.08,20210319
068E652C488E6D01151B4980924F858E,068E652C488E6D01E599293424AF0A5C,2021-03-19 00:00:00,002,二氧化硫,27.92,80,CEMS维护,0,0,2021-03-20T09:21:49.08,2021-03-20T09:21:49.08,20210319
068E652C488E6D01151B4980924F858E,068E652C488E6D01E599293424AF0A5C,2021-03-19 00:00:00,003,氮氧化物,138.53,250,CEMS维护,0,0,2021-03-20T09:21:49.08,2021-03-20T09:21:49.08,20210319
068E652C488E6D01151B4980924F858E,068E652C488E6D01E599293424AF0A5C,2021-03-19 00:00:00,004,一氧化碳,3.25,80,CEMS维护,0,0,2021-03-20T09:21:49.08,2021-03-20T09:21:49.08,20210319
068E652C488E6D01151B4980924F858E,068E652C488E6D01E599293424AF0A5C,2021-03-19 00:00:00,008,氯化氢,6.64,50,CEMS维护,0,0,2021-03-20T09:21:49.08,2021-03-20T09:21:49.08,20210319
